nom,description,competence_id
transposer,"À partir d’un besoin client, installer, paramétrer ou maintenir une solution de gestion de contenu ou d’e- commerce afin de réaliser de manière facilitée un site vitrine ou une boutique en ligne, créer les différents comptes utilisateurs avec leurs droits et rôles dans le respect des règles de sécurité, créer ou adapter la structure du site ou de la boutique afin de permettre à l’utilisateur d’en gérer le contenu et d’en suivre l’activité.

Personnaliser l’aspect visuel du site ou de la boutique afin de respecter la charte graphique du client et d’être adapté à l’équipement de l’utilisateur, y compris mobile, et à l’ensemble des navigateurs ciblés.

Publier le site vitrine ou la boutique en ligne sur un serveur et le (la) rendre visible sur les moteurs de recherche.

Pratiquer une veille technologique, y compris en anglais, pour résoudre un problème technique ou mettre en œuvre une nouvelle fonctionnalité ainsi que pour s’informer sur la sécurité informatique et les vulnérabilités connues.

Partager le résultat de sa veille avec ses pairs.

Cette compétence s'exerce seul ou en équipe.

L’installation et le paramétrage se font via des pages d’administration des solutions de gestion de contenu ou d’e-commerce.",4
imiter,"A partir d'un schéma physique de données et dans le contexte d'un besoin client décrit, créer une base de données sur un SGBD désigné. Créer des utilisateurs pour cette base et leur attribuer des droits spécifiés. A partir de données dans un tableau, créer un script d'insertion de données. Être capable de justifier le choix relationnel ou non relationnel retenu à partir du contexte du besoin client. Recopier et utiliser des procédures de sauvegarde et de restauration de la BD.",5
adapter,"A partir d'un schéma existant dans le contexte d'un besoin client décrit, enrichir le schéma pour prendre en compte un nouveau besoin client. Créer la base de données sur un SGBD désigné. Créer des utilisateurs pour cette base et leur attribuer des droits spécifiés. Créer un jeu données pour cette BD et créer un script pour insérer ces données. Adapter et utiliser des procédures de sauvegarde et de restauration de la BD.",5
transposer,"À partir d’une demande client nécessitant le stockage de données, organiser les données et définir un schéma physique. A l’aide d’un SGBD, écrire et exécuter le script de création de la base de données, insérer les données de test, définir les droits d'utilisation et prévoir les procédures de sauvegarde et de restauration de la base de données de test. Conformément à l’état de l’art de la sécurité et aux exigences de sécurité identifiées, exprimer le besoin de sécurité du SGDB afin de permettre l’élaboration d’une base de données sécurisée. Rechercher, en utilisant de la documentation en langue française ou anglaise, des solutions pertinentes pour la résolution de problèmes techniques et de nouveaux usages, notamment des bases de données non relationnelles. Partager le résultat de sa veille avec ses pairs.",5
imiter	,"A partir d'une expression de besoin (mini cahier des charges) et d'un programme avec un composant d'accès aux données déjà existant :
- J'adapte les requêtes de selection pour requêter mes données (changement du nom des tables ou des collections, changement du nom des attributs)
- J'adapte les requêtes d'insertion ou de mise à jour de mes données (changement des valeurs, changement du nom des tables ou collections, changement du nom des attributs)
- J'adapte les requêtes de suppression (changement du nom des tables ou collections, changement du nom des attributs)",6
adapter	,"A partir d'une expression de besoin (mini cahier des charges) et d'un programme avec au moins un composant d'accès aux données déjà existant :
- J'ajoute des requêtes de selection pour requêter mes données
- J'ajoute des requêtes d'insertion ou de mise à jour de mes données
- J'aoute des requêtes de suppression
- Je crée de nouveau composants d'accès aux données
- J'organise mes composants d'accès aux données de manière logique (ex : un composant d'accès par type de données)
- Je stocke mes données venant de la source de données sous forme d'objet",6
transposer	,"À partir du dossier de conception technique et d’une bibliothèque d’objets spécialisés dans l’accès aux données, coder, tester et documenter les composants d'accès aux données stockées dans une base de données afin d’opérer des sélections et des mises à jour de données nécessaires à une application informatique et de façon sécurisée. Rechercher, éventuellement en langue anglaise, des solutions innovantes et pertinentes pour la résolution de problèmes techniques et de nouveaux usages, notamment d'accès aux données non relationnelles. Pratiquer une veille technologique sur la sécurité informatique et les vulnérabilités connues. Partager le résultat de sa recherche ou de sa veille avec ses pairs.",6
imiter	,"A partir d'un back-end existant, je suis en mesure d'apporter des modifications mineures aux traitements réalisés côté serveur.
Il peut notamment s'agit des traitements liés à la collecte, au traitement ou à la restitution de données.",7
adapter	,"A partir d'un back-end existant (qu'il ait été ou non réalisé par l'apprenant), je suis en mesure d'apporter des modifications majeurs aux traitements réalisés côté serveur.
En particulier, je suis en mesure d'ajouter de nouveaux traitements de données existantes voire de collecter ou de restituer de nouvelles données.",7
transposer	,"À partir des fonctionnalités décrites dans le dossier de conception technique, et dans le respect des bonnes pratiques de développement et de sécurisation d'application web, coder, tester et documenter les traitements côté serveur, afin d’assurer la collecte, le traitement et la restitution d’informations numériques. Publier l’application web sur un serveur. Pratiquer une veille technologique, y compris en anglais, pour résoudre un problème technique ou mettre en œuvre une nouvelle fonctionnalité ainsi que pour s’informer sur la sécurité informatique et les vulnérabilités connues. Partager le résultat de sa veille avec ses pairs.",7
